,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Hedland,AU,-20.3167,118.5667,118.45,7,91,13.8,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,36.57,87,50,2.51,scattered clouds
2,Hermanus,ZA,-34.4187,19.2345,68.9,82,100,17.0,overcast clouds
3,Cayambe,EC,0.05,-78.1333,49.26,96,100,2.75,light rain
4,Belmonte,BR,-15.8631,-38.8828,75.7,85,5,4.03,clear sky
5,Sitka,US,57.0531,-135.33,39.09,87,100,0.0,light rain
6,Yellowknife,CA,62.456,-114.3525,-6.59,87,99,5.01,overcast clouds
7,Dikson,RU,73.5069,80.5464,-2.04,94,100,20.49,light snow
8,Bambamarca,PE,-6.6833,-78.5333,51.96,87,100,2.42,overcast clouds
9,Severo-Kurilsk,RU,50.6789,156.125,31.95,88,100,41.94,light snow
10,Hokitika,NZ,-42.7167,170.9667,66.43,62,0,7.34,clear sky
11,Naze,JP,28.3667,129.4833,54.5,64,100,17.11,overcast clouds
12,Hervey Bay,AU,-25.2986,152.8535,86.11,59,27,5.99,scattered clouds
13,Vaini,TO,-21.2,-175.2,80.76,94,75,6.91,broken clouds
14,Pisco,PE,-13.7,-76.2167,71.02,88,100,9.22,overcast clouds
15,Inhambane,MZ,-23.865,35.3833,79.36,78,93,7.92,overcast clouds
16,Cape Town,ZA,-33.9258,18.4232,69.12,65,75,9.22,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,77.07,75,6,19.22,light rain
18,East London,ZA,-33.0153,27.9116,70.45,86,100,10.6,light rain
19,Ewa Beach,US,21.3156,-158.0072,80.55,69,75,5.01,broken clouds
20,Mareeba,AU,-17.0,145.4333,91.33,62,78,2.17,broken clouds
21,Qaanaaq,GL,77.484,-69.3632,-2.79,96,100,2.42,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,68.29,85,100,14.58,overcast clouds
23,Barrow,US,71.2906,-156.7887,-11.18,77,0,5.75,clear sky
24,Tautira,PF,-17.7333,-149.15,75.0,89,100,18.03,moderate rain
